keyword,intent,niche,url_count,total_sessions,avg_sessions,total_clicks,avg_ctr,potential,best_url,best_clicks
bacon dinner recipes,food-recipe,Food/Recipe,1,30,30,11,36.67,57.47,tastywolf.com/bacon-dinner-recipes/,11
groovy cake ideas,food-baking,Food/Recipe,1,43,43,14,32.56,56.24,rosabake.com/groovy-cake-ideas/,14
tattoo compass ideas,tattoo,Tattoo,1,39,39,8,20.51,47.04,shadowlinetattoos.com/tattoo-compass-ideas/,8
pizza baby shower,wedding-event,Wedding/Craft,1,13,13,5,38.46,46.33,lunapastry.com/pizza-baby-shower/,5
dusty rose living room,room-ideas,Home Decor,1,9,9,15,166.67,45.55,lunarosedecor.com/dusty-rose-living-room/,15
tea party brunch,wedding-event,Wedding/Craft,1,115,115,24,20.87,45.28,brewnora.com/tea-party-brunch/,24
vegan recipes protein,food-recipe,Food/Recipe,1,10,10,4,40,43.78,purechinataste.com/vegan-recipes-protein/,4
bed stand design,product-specific,Home Decor,1,3,3,2,66.67,42.18,cookdle.com/bed-stand-design/,2
rise phoenix tattoo,tattoo,Tattoo,1,26,26,5,19.23,39.4,tattooradar.com/rise-phoenix-tattoo/,5
wall curtains bedroom,product-specific,Home Decor,1,124,124,22,17.74,39.09,rosabake.com/wall-curtains-bedroom/,22
cookie table wedding display,wedding-event,Wedding/Craft,1,18,18,5,27.78,37.33,cozyslice.com/cookie-table-wedding-display/,5
snoopy cake ideas,food-baking,Food/Recipe,1,74,74,14,18.92,37.28,cozyslice.com/snoopy-cake-ideas/,14
baking business ideas,general,Lifestyle,1,357,357,49,13.73,36.85,vinainvesting.com/baking-business-ideas/,49
easy dinner recipes for two cheap quick,food-recipe,Food/Recipe,1,4,4,2,50,36.73,fastcooky.com/easy-dinner-recipes-for-two-cheap-quick/,2
t shirt design ideas creative,diy-craft,Wedding/Craft,1,21,21,4,19.05,36.61,gentedge.com/t-shirt-design-ideas-creative/,4
country prom outfits for guys,outfit-style,Styling,1,39,39,6,15.38,35.27,gentedge.com/country-prom-outfits-for-guys/,6
cozy country living room,room-ideas,Home Decor,1,5,5,8,160,34.03,namidecor.com/cozy-country-living-room/,8
jungle theme cake design,food-baking,Food/Recipe,1,40,40,8,20,33.9,rosabake.com/jungle-theme-cake-design/,8
perms for short hair,hair-beauty,Hair/Beauty,1,34,34,3,8.82,33.54,magentahairstudio.com/perms-for-short-hair/,3
bird aviary,product-specific,Garden/Outdoor,1,117,117,11,9.4,33.43,avianenthusiast.com/bird-aviary/,11
stitch birthday cake,food-baking,Food/Recipe,1,73,73,12,16.44,32.3,doughora.com/stitch-birthday-cake/,12
fish birthday cake,food-baking,Food/Recipe,1,43,43,8,18.6,32.13,sugardawn.com/fish-birthday-cake/,8
rattan pendant light kitchen island,product-specific,Home Decor,1,17,17,4,23.53,31.04,cooksonic.com/rattan-pendant-light-kitchen-island/,4
denim blouse outfit for women,outfit-style,Styling,1,15,15,12,80,30.74,ivystyling.com/denim-blouse-outfit-for-women/,12
hair color streaks ideas,hair-beauty,Hair/Beauty,1,39,39,3,7.69,30.34,hairflowy.com/hair-color-streaks-ideas/,3
white party outfits mens,outfit-style,Styling,1,38,38,5,13.16,29.97,gentedge.com/all-white-party-outfits-mens/,5
vegan sorbet recipes,food-recipe,Food/Recipe,1,6,6,2,33.33,29.6,pepperspraymum.com/vegan-sorbet-recipes/,2
bunk beds for guest room,room-ideas,Home Decor,1,14,14,14,100,29.52,lodgvia.com/bunk-beds-for-guest-room/,14
small bookshelf ideas,product-specific,Home Decor,1,12,12,3,25,29.27,lunapastry.com/small-bookshelf-ideas/,3
kumho tires review,general,Other,1,51,51,5,9.8,28.87,jordistireshop.com/kumho-tires-review/,5
cursive tattoo fonts for men,tattoo,Tattoo,1,41,41,5,12.2,28.35,gentedge.com/cursive-tattoo-fonts-for-men/,5
family friendly lean and green meals,food-recipe,Food/Recipe,1,7,7,2,28.57,27.12,pepperspraymum.com/family-friendly-lean-and-green-meals/,2
donut birthday cake,food-baking,Food/Recipe,1,54,54,8,14.81,27.09,cozyslice.com/donut-birthday-cake/,8
bohemian kitchen backsplash ideas,product-specific,Home Decor,1,8,8,3,37.5,27.01,bohozora.com/bohemian-kitchen-backsplash-ideas/,3
basement floor ideas,room-ideas,Home Decor,1,8,8,3,37.5,27.01,stylekitcheny.com/basement-floor-ideas/,3
pain tattoo ideas,tattoo,Tattoo,1,22,22,3,13.64,26.59,shadowlinetattoos.com/pain-tattoo-ideas/,3
